module_code,xbrl_schema_ref,from_date,to_date,version
FINREP9_Ind_IFRS,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/cir-680-2014-ind/2019-08-31/mod/finrep9_ind_ifrs.json,30-Jun-20,30-Jun-20,2.3.0
SBPIMV_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/sbp/cir-2070-2016/2019-08-31/mod/sbpimv_con.json,30-Sep-19,29-Sep-20,1.0.6
SBPIMV_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/sbp/cir-2070-2016/2019-08-31/mod/sbpimv_ind.json,30-Sep-19,29-Sep-20,1.0.6
SBP_CR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/sbp/cir-2070-2016/2019-08-31/mod/sbp_cr_con.json,30-Sep-19,29-Sep-20,1.0.6
SBP_CR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/sbp/cir-2070-2016/2019-08-31/mod/sbp_cr_ind.json,30-Sep-19,29-Sep-20,1.0.6
SBP_RM_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/sbp/cir-2070-2016/2019-08-31/mod/sbp_rm_con.json,30-Sep-19,29-Sep-20,1.0.6
SBP_RM_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/sbp/cir-2070-2016/2019-08-31/mod/sbp_rm_ind.json,30-Sep-19,29-Sep-20,1.0.6
COREP_ALM_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-11-15/mod/corep_alm_con.json,30-Apr-20,29-Jun-21,2.4.1
COREP_ALM_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-11-15/mod/corep_alm_ind.json,30-Apr-20,29-Jun-21,2.4.1
COREP_LCR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-11-15/mod/corep_lcr_con.json,30-Apr-20,29-Jun-21,2.4.1
